DATE_TIME,current_contract,next_contract,carry_contract
2018-06-11 14:00:00,20180600,20180900,20180900
2018-09-11 23:00:00,20180900,20181200,20181200
2018-12-11 16:00:00,20181200,20190300,20190300
2019-03-11 12:00:00,20190300,20190600,20190600
2019-05-23 08:00:00,20190600,20190900,20190900
2019-09-10 09:00:00,20190900,20191200,20191200
2019-12-10 11:00:00,20191200,20200300,20200300
2020-03-16 16:00:00,20200300,20200600,20200600
2020-06-11 09:00:00,20200600,20200900,20200900
2020-09-11 08:00:00,20200900,20201200,20201200
2020-12-11 10:00:00,20201200,20210300,20210300
2021-03-11 08:00:00,20210300,20210600,20210600
2021-06-11 07:00:00,20210600,20210900,20210900
2021-09-10 07:00:00,20210900,20211200,20211200
2021-10-07 23:00:00,20211200,20220300,20220300
