DATE_TIME,current_contract,next_contract,carry_contract
1995-09-05 23:00:00,19950900,19951200,19950700
1995-12-04 23:00:00,19951200,19960300,19950900
1996-02-01 23:00:00,19960300,19960500,19951200
1996-04-02 23:00:00,19960500,19960700,19960300
1996-06-03 23:00:00,19960700,19960900,19960500
1996-09-03 23:00:00,19960900,19961200,19960700
1996-12-02 23:00:00,19961200,19970300,19960900
1997-01-31 23:00:00,19970300,19970500,19961200
1997-04-02 23:00:00,19970500,19970700,19970300
1997-06-02 23:00:00,19970700,19970900,19970500
1997-09-02 23:00:00,19970900,19971200,19970700
1997-12-01 23:00:00,19971200,19980300,19970900
1998-02-02 23:00:00,19980300,19980500,19971200
1998-04-02 23:00:00,19980500,19980700,19980300
1998-06-02 23:00:00,19980700,19980900,19980500
1998-09-02 23:00:00,19980900,19981200,19980700
1998-12-01 23:00:00,19981200,19990300,19980900
1999-02-01 23:00:00,19990300,19990500,19981200
1999-04-05 23:00:00,19990500,19990700,19990300
1999-06-02 23:00:00,19990700,19990900,19990500
1999-09-02 23:00:00,19990900,19991200,19990700
1999-12-02 23:00:00,19991200,20000300,19990900
2000-02-01 23:00:00,20000300,20000500,19991200
2000-04-03 23:00:00,20000500,20000700,20000300
2000-06-02 23:00:00,20000700,20000900,20000500
2000-09-05 23:00:00,20000900,20001200,20000700
2000-12-01 23:00:00,20001200,20010300,20000900
2001-01-31 23:00:00,20010300,20010500,20001200
2001-04-02 23:00:00,20010500,20010700,20010300
2001-06-04 23:00:00,20010700,20010900,20010500
2001-09-04 23:00:00,20010900,20011200,20010700
2001-12-03 23:00:00,20011200,20020300,20010900
2002-01-31 23:00:00,20020300,20020500,20011200
2002-04-02 23:00:00,20020500,20020700,20020300
2002-06-03 23:00:00,20020700,20020900,20020500
2002-09-03 23:00:00,20020900,20021200,20020700
2002-12-02 23:00:00,20021200,20030300,20020900
2003-01-31 23:00:00,20030300,20030500,20021200
2003-04-02 23:00:00,20030500,20030700,20030300
2003-06-02 23:00:00,20030700,20030900,20030500
2003-09-02 23:00:00,20030900,20031200,20030700
2003-12-02 23:00:00,20031200,20040300,20030900
2004-02-02 23:00:00,20040300,20040500,20031200
2004-04-02 23:00:00,20040500,20040700,20040300
2004-06-02 23:00:00,20040700,20040900,20040500
2004-09-02 23:00:00,20040900,20041200,20040700
2004-12-10 23:00:00,20041200,20050300,20040900
2005-01-31 23:00:00,20050300,20050500,20041200
2005-04-04 23:00:00,20050500,20050700,20050300
2005-06-02 23:00:00,20050700,20050900,20050500
2005-09-02 23:00:00,20050900,20051200,20050700
2005-12-01 23:00:00,20051200,20060300,20050900
2006-01-31 23:00:00,20060300,20060500,20051200
2006-04-03 23:00:00,20060500,20060700,20060300
2006-06-02 23:00:00,20060700,20060900,20060500
2006-09-05 23:00:00,20060900,20061200,20060700
2006-12-01 23:00:00,20061200,20070300,20060900
2007-01-31 23:00:00,20070300,20070500,20061200
2007-04-02 23:00:00,20070500,20070700,20070300
2007-06-04 23:00:00,20070700,20070900,20070500
2007-09-04 23:00:00,20070900,20071200,20070700
2007-12-03 23:00:00,20071200,20080300,20070900
2008-02-01 23:00:00,20080300,20080500,20071200
2008-04-02 23:00:00,20080500,20080700,20080300
2008-06-02 23:00:00,20080700,20080900,20080500
2008-09-02 23:00:00,20080900,20081200,20080700
2008-12-02 23:00:00,20081200,20090300,20080900
2009-02-02 01:00:00,20090300,20090500,20081200
2009-04-02 09:00:00,20090500,20090700,20090300
2009-06-02 07:00:00,20090700,20090900,20090500
2009-09-02 14:00:00,20090900,20091200,20090700
2009-12-01 09:00:00,20091200,20100300,20090900
2010-02-01 01:00:00,20100300,20100500,20091200
2010-04-04 23:00:00,20100500,20100700,20100300
2010-06-02 09:00:00,20100700,20100900,20100500
2010-09-02 14:00:00,20100900,20101200,20100700
2010-12-01 15:00:00,20101200,20110300,20100900
2011-01-31 07:00:00,20110300,20110500,20101200
2011-04-03 23:00:00,20110500,20110700,20110300
2011-06-02 07:00:00,20110700,20110900,20110500
2011-09-02 07:00:00,20110900,20111200,20110700
2011-12-02 15:00:00,20111200,20120300,20110900
2012-02-01 07:00:00,20120300,20120500,20111200
2012-04-02 07:00:00,20120500,20120700,20120300
2012-06-03 22:00:00,20120700,20120900,20120500
2012-09-04 04:00:00,20120900,20121200,20120700
2012-12-02 23:00:00,20121200,20130300,20120900
2013-01-31 07:00:00,20130300,20130500,20121200
2013-04-02 07:00:00,20130500,20130700,20130300
2013-06-03 02:00:00,20130700,20130900,20130500
2013-09-03 11:00:00,20130900,20131200,20130700
2013-12-02 01:00:00,20131200,20140300,20130900
2014-01-31 09:00:00,20140300,20140500,20131200
2014-04-02 07:00:00,20140500,20140700,20140300
2014-06-02 07:00:00,20140700,20140900,20140500
2014-09-02 13:00:00,20140900,20141200,20140700
2014-12-01 09:00:00,20141200,20150300,20140900
2015-02-02 01:00:00,20150300,20150500,20141200
2015-04-02 07:00:00,20150500,20150700,20150300
2015-06-02 08:00:00,20150700,20150900,20150500
2015-09-02 13:00:00,20150900,20151200,20150700
2015-12-02 14:00:00,20151200,20160300,20150900
2016-02-01 09:00:00,20160300,20160500,20151200
2016-04-04 01:00:00,20160500,20160700,20160300
2016-06-02 09:00:00,20160700,20160900,20160500
2016-09-02 13:00:00,20160900,20161200,20160700
2016-12-01 12:00:00,20161200,20170300,20160900
2017-01-31 09:00:00,20170300,20170500,20161200
2017-04-03 01:00:00,20170500,20170700,20170300
2017-06-02 07:00:00,20170700,20170900,20170500
2017-09-05 13:00:00,20170900,20171200,20170700
2017-12-01 13:00:00,20171200,20180300,20170900
2018-01-31 07:00:00,20180300,20180500,20171200
2018-04-02 07:00:00,20180500,20180700,20180300
2018-06-04 01:00:00,20180700,20180900,20180500
2018-09-04 13:00:00,20180900,20181200,20180700
2018-12-03 01:00:00,20181200,20190300,20180900
2019-01-31 07:00:00,20190300,20190500,20181200
2019-04-02 07:00:00,20190500,20190700,20190300
2019-06-03 01:00:00,20190700,20190900,20190500
2019-09-03 01:00:00,20190900,20191200,20190700
2019-12-02 08:00:00,20191200,20200300,20190900
2020-02-03 01:00:00,20200300,20200500,20191200
2020-04-02 07:00:00,20200500,20200700,20200300
2020-06-02 07:00:00,20200700,20200900,20200500
2020-09-02 08:00:00,20200900,20201200,20200700
2020-12-01 14:00:00,20201200,20210300,20200900
