DATE_TIME,current_contract,next_contract,carry_contract
2019-12-12 16:00:00,20200100,20200200,20200200
2019-12-17 15:00:00,20200200,20200300,20200300
2020-01-28 14:00:00,20200300,20200400,20200400
2020-03-02 16:00:00,20200400,20200500,20200500
2020-03-31 10:00:00,20200500,20200600,20200600
2020-04-29 13:00:00,20200600,20200700,20200700
2020-06-08 13:00:00,20200700,20200800,20200800
2020-07-06 07:00:00,20200800,20200900,20200900
2020-07-31 14:00:00,20200900,20201000,20201000
2020-09-01 11:00:00,20201000,20201100,20201100
2020-10-01 12:00:00,20201100,20201200,20201200
2020-10-29 15:00:00,20201200,20210100,20210100
2020-12-01 13:00:00,20210100,20210200,20210200
2021-01-05 10:00:00,20210200,20210300,20210300
2021-01-26 13:00:00,20210300,20210400,20210400
2021-03-01 14:00:00,20210400,20210500,20210500
2021-03-30 16:00:00,20210500,20210600,20210600
2021-04-29 01:00:00,20210600,20210700,20210700
2021-06-01 15:00:00,20210700,20210800,20210800
2021-06-30 13:00:00,20210800,20210900,20210900
2021-07-30 13:00:00,20210900,20211000,20211000
2021-08-31 13:00:00,20211000,20211100,20211100
2021-09-30 12:00:00,20211100,20211200,20211200
2021-11-01 15:00:00,20211200,20220100,20220100
2021-11-05 23:00:00,20220100,20220200,20220200
