DATE_TIME,current_contract,next_contract,carry_contract
2008-11-28 23:00:00,20090100,20090300,20081100
2009-01-30 23:00:00,20090300,20090500,20090100
2009-03-31 23:00:00,20090500,20090700,20090300
2009-05-29 23:00:00,20090700,20090900,20090500
2009-07-31 23:00:00,20090900,20091100,20090700
2009-09-30 23:00:00,20091100,20100100,20090900
2009-11-30 23:00:00,20100100,20100300,20091100
2010-01-29 23:00:00,20100300,20100500,20100100
2010-03-31 23:00:00,20100500,20100700,20100300
2010-05-28 23:00:00,20100700,20100900,20100500
2010-07-30 23:00:00,20100900,20101100,20100700
2010-09-30 23:00:00,20101100,20110100,20100900
2010-11-30 23:00:00,20110100,20110300,20101100
2011-01-31 23:00:00,20110300,20110500,20110100
2011-03-31 23:00:00,20110500,20110700,20110300
2011-05-31 23:00:00,20110700,20110900,20110500
2011-07-29 23:00:00,20110900,20120100,20110700
2011-09-30 23:00:00,20120100,20120300,20110900
2012-01-31 23:00:00,20120300,20120500,20120100
2012-03-30 23:00:00,20120500,20120700,20120300
2012-05-31 23:00:00,20120700,20120900,20120500
2012-07-31 23:00:00,20120900,20121100,20120700
2012-11-30 09:00:00,20121100,20130100,20120900
2012-12-30 09:00:00,20130100,20130300,20121100
2013-01-31 09:00:00,20130300,20130500,20130100
2013-03-27 10:00:00,20130500,20130700,20130300
2013-05-31 09:00:00,20130700,20130900,20130500
2013-07-26 08:00:00,20130900,20131100,20130700
2013-09-27 13:00:00,20131100,20140100,20130900
2013-11-29 09:00:00,20140100,20140300,20131100
2014-01-31 09:00:00,20140300,20140500,20140100
2014-03-31 10:00:00,20140500,20140700,20140300
2014-05-30 08:00:00,20140700,20140900,20140500
2014-07-31 08:00:00,20140900,20141100,20140700
2014-09-29 08:00:00,20141100,20150100,20140900
2014-11-27 09:00:00,20150100,20150300,20141100
2015-01-29 14:00:00,20150300,20150500,20150100
2015-03-27 09:00:00,20150500,20150700,20150300
2015-05-28 13:00:00,20150700,20150900,20150500
2015-07-31 09:00:00,20150900,20151100,20150700
2015-09-25 14:00:00,20151100,20160100,20150900
2015-11-26 14:00:00,20160100,20160300,20151100
2016-01-28 15:00:00,20160300,20160500,20160100
2016-03-29 13:00:00,20160500,20160700,20160300
2016-05-27 13:00:00,20160700,20160900,20160500
2016-07-28 16:00:00,20160900,20161100,20160700
2016-09-27 13:00:00,20161100,20170100,20160900
2016-11-30 09:00:00,20170100,20170300,20161100
2017-01-30 13:00:00,20170300,20170500,20170100
2017-03-30 15:00:00,20170500,20170700,20170300
2017-05-30 15:00:00,20170700,20170900,20170500
2017-07-28 08:00:00,20170900,20171100,20170700
2017-09-21 13:00:00,20171100,20180100,20170900
2017-11-30 09:00:00,20180100,20180300,20171100
2018-01-30 11:00:00,20180300,20180500,20180100
2018-03-29 08:00:00,20180500,20180700,20180300
2018-05-24 15:00:00,20180700,20180900,20180500
2018-07-25 08:00:00,20180900,20181100,20180700
2018-09-24 08:00:00,20181100,20190100,20180900
2018-11-26 09:00:00,20190100,20190300,20181100
2019-01-24 11:00:00,20190300,20190500,20190100
2019-03-19 12:00:00,20190500,20190700,20190300
2019-05-23 14:00:00,20190700,20190900,20190500
2019-07-24 08:00:00,20190900,20191100,20190700
2019-09-24 08:00:00,20191100,20200100,20190900
2019-11-08 15:00:00,20200100,20200300,20191100
2020-01-24 14:00:00,20200300,20200500,20200100
2020-03-17 09:00:00,20200500,20200700,20200300
2020-05-22 08:00:00,20200700,20200900,20200500
2020-07-24 15:00:00,20200900,20201100,20200700
2020-09-24 08:00:00,20201100,20210100,20200900
2020-11-23 14:00:00,20210100,20210300,20201100
2021-01-19 12:00:00,20210300,20210500,20210100
2021-03-22 15:00:00,20210500,20210700,20210300
2021-05-21 12:00:00,20210700,20210900,20210500
2021-07-20 16:00:00,20210900,20211100,20210700
2021-09-22 13:00:00,20211100,20220100,20210900
2021-11-23 10:00:00,20220100,20220300,20211100
2022-01-24 09:00:00,20220300,20220500,20220100
2022-03-18 11:00:00,20220500,20220700,20220300
2022-05-23 13:00:00,20220700,20220900,20220500
2022-07-22 11:00:00,20220900,20221100,20220700
2022-09-23 15:00:00,20221100,20230100,20220900
2022-11-23 11:00:00,20230100,20230300,20221100
2023-01-25 09:00:00,20230300,20230500,20230100
2023-03-23 15:00:00,20230500,20230700,20230300
2023-05-23 13:00:00,20230700,20230900,20230500
2023-07-21 10:00:00,20230900,20231100,20230700
