Instrument,SpreadCost
600519.SH,0.0003
000858.SZ,0.0004
600036.SH,0.0005
601318.SH,0.0004
000333.SZ,0.0005
000651.SZ,0.0005
600887.SH,0.0004
002415.SZ,0.0004
600276.SH,0.0004
300750.SZ,0.0003
002594.SZ,0.0003
688981.SH,0.0004
002230.SZ,0.0005
300059.SZ,0.0005
600703.SH,0.0006
002475.SZ,0.0004
300124.SZ,0.0004
688041.SH,0.0004
601398.SH,0.001
601288.SH,0.001
600030.SH,0.0004
601166.SH,0.0006
600690.SH,0.0004
000568.SZ,0.0004
600809.SH,0.0003
002304.SZ,0.0004
601857.SH,0.0006
600028.SH,0.0008
601088.SH,0.0003
600900.SH,0.0003
600000.SH,0.0005
600009.SH,0.0004
600010.SH,0.002
600011.SH,0.0006
600015.SH,0.001
600016.SH,0.001
600018.SH,0.001
600019.SH,0.0008
600025.SH,0.0005
600031.SH,0.0004
600048.SH,0.0005
600050.SH,0.001
510050.SH,0.0003
510300.SH,0.0003
510330.SH,0.0003
510500.SH,0.0003
159915.SZ,0.0003
