"Date","Price","Open","High","Low","Change %"
"Oct 24, 2019","1.1101","1.1132","1.1163","1.1093","-0.29%"
"Oct 23, 2019","1.1133","1.1129","1.1140","1.1106","0.07%"
"Oct 22, 2019","1.1125","1.1149","1.1158","1.1117","-0.22%"
"Oct 21, 2019","1.1149","1.1142","1.1180","1.1136","-0.20%"
"Oct 18, 2019","1.1171","1.1126","1.1174","1.1115","0.42%"
"Oct 17, 2019","1.1124","1.1073","1.1141","1.1065","0.47%"
"Oct 16, 2019","1.1072","1.1033","1.1087","1.1022","0.35%"
"Oct 15, 2019","1.1033","1.1029","1.1047","1.0991","0.04%"
"Oct 14, 2019","1.1029","1.1043","1.1049","1.1012","-0.12%"
"Oct 11, 2019","1.1042","1.1006","1.1064","1.1001","0.33%"
"Oct 10, 2019","1.1006","1.0972","1.1036","1.0971","0.32%"
"Oct 09, 2019","1.0971","1.0957","1.0991","1.0952","0.14%"
"Oct 08, 2019","1.0956","1.0971","1.0997","1.0941","-0.14%"
"Oct 07, 2019","1.0971","1.0975","1.1001","1.0961","-0.06%"
"Oct 04, 2019","1.0978","1.0964","1.0999","1.0957","0.11%"
"Oct 03, 2019","1.0966","1.0959","1.1001","1.0941","0.06%"
"Oct 02, 2019","1.0959","1.0932","1.0964","1.0903","0.25%"
"Oct 01, 2019","1.0932","1.0901","1.0944","1.0879","0.29%"
"Sep 30, 2019","1.0900","1.0940","1.0949","1.0885","-0.36%"
"Sep 27, 2019","1.0939","1.0920","1.0959","1.0904","0.16%"
"Sep 26, 2019","1.0922","1.0942","1.0968","1.0908","-0.19%"
"Sep 25, 2019","1.0943","1.1020","1.1025","1.0938","-0.70%"
"Sep 24, 2019","1.1020","1.0994","1.1026","1.0984","0.25%"
"Sep 23, 2019","1.0993","1.1016","1.1027","1.0966","-0.23%"
"Sep 20, 2019","1.1018","1.1041","1.1069","1.0995","-0.21%"
"Sep 19, 2019","1.1041","1.1029","1.1074","1.1022","0.10%"
"Sep 18, 2019","1.1030","1.1072","1.1076","1.1013","-0.39%"
"Sep 17, 2019","1.1073","1.1000","1.1076","1.0990","0.65%"
"Sep 16, 2019","1.1002","1.1087","1.1093","1.0994","-0.66%"
"Sep 13, 2019","1.1075","1.1064","1.1111","1.1055","0.11%"
"Sep 12, 2019","1.1063","1.1011","1.1088","1.0927","0.48%"
"Sep 11, 2019","1.1010","1.1043","1.1056","1.0984","-0.30%"
"Sep 10, 2019","1.1043","1.1045","1.1059","1.1030","-0.05%"
"Sep 09, 2019","1.1048","1.1024","1.1069","1.1016","0.17%"
"Sep 06, 2019","1.1029","1.1035","1.1058","1.1020","-0.05%"
"Sep 05, 2019","1.1035","1.1037","1.1086","1.1017","0.00%"
"Sep 04, 2019","1.1035","1.0974","1.1038","1.0969","0.56%"
"Sep 03, 2019","1.0974","1.0970","1.0980","1.0926","0.05%"
"Sep 02, 2019","1.0968","1.0990","1.1000","1.0958","-0.21%"
"Aug 30, 2019","1.0991","1.1058","1.1062","1.0963","-0.60%"
"Aug 29, 2019","1.1057","1.1078","1.1093","1.1042","-0.19%"
"Aug 28, 2019","1.1078","1.1090","1.1099","1.1072","-0.12%"
"Aug 27, 2019","1.1091","1.1101","1.1116","1.1084","-0.10%"
"Aug 26, 2019","1.1102","1.1147","1.1166","1.1094","-0.38%"
"Aug 23, 2019","1.1144","1.1079","1.1154","1.1051","0.59%"
"Aug 22, 2019","1.1079","1.1084","1.1114","1.1063","-0.05%"
"Aug 21, 2019","1.1085","1.1100","1.1109","1.1081","-0.14%"
"Aug 20, 2019","1.1100","1.1079","1.1107","1.1065","0.20%"
"Aug 19, 2019","1.1078","1.1092","1.1115","1.1076","-0.11%"
"Aug 16, 2019","1.1090","1.1106","1.1113","1.1066","-0.15%"
"Aug 15, 2019","1.1107","1.1138","1.1159","1.1090","-0.29%"
"Aug 14, 2019","1.1139","1.1170","1.1191","1.1130","-0.29%"
"Aug 13, 2019","1.1171","1.1214","1.1229","1.1171","-0.38%"
"Aug 12, 2019","1.1214","1.1204","1.1232","1.1162","0.12%"
"Aug 09, 2019","1.1200","1.1181","1.1224","1.1180","0.18%"
"Aug 08, 2019","1.1180","1.1199","1.1233","1.1177","-0.17%"
"Aug 07, 2019","1.1199","1.1199","1.1243","1.1180","-0.01%"
"Aug 06, 2019","1.1200","1.1203","1.1251","1.1168","-0.02%"
"Aug 05, 2019","1.1202","1.1101","1.1213","1.1101","0.84%"
"Aug 02, 2019","1.1109","1.1087","1.1118","1.1070","0.22%"
"Aug 01, 2019","1.1085","1.1076","1.1097","1.1027","0.08%"
"Jul 31, 2019","1.1076","1.1155","1.1163","1.1059","-0.71%"
"Jul 30, 2019","1.1155","1.1144","1.1162","1.1132","0.10%"
"Jul 29, 2019","1.1144","1.1126","1.1151","1.1112","0.15%"
"Jul 26, 2019","1.1127","1.1147","1.1152","1.1112","-0.18%"
"Jul 25, 2019","1.1147","1.1142","1.1189","1.1102","0.05%"
"Jul 24, 2019","1.1141","1.1152","1.1160","1.1127","-0.11%"
"Jul 23, 2019","1.1153","1.1210","1.1211","1.1146","-0.51%"
"Jul 22, 2019","1.1210","1.1218","1.1227","1.1206","-0.11%"
"Jul 19, 2019","1.1222","1.1277","1.1283","1.1204","-0.49%"
"Jul 18, 2019","1.1277","1.1224","1.1282","1.1205","0.47%"
"Jul 17, 2019","1.1224","1.1210","1.1234","1.1199","0.12%"
"Jul 16, 2019","1.1211","1.1258","1.1265","1.1202","-0.42%"
"Jul 15, 2019","1.1258","1.1268","1.1285","1.1252","-0.12%"
"Jul 12, 2019","1.1271","1.1254","1.1277","1.1238","0.15%"
"Jul 11, 2019","1.1254","1.1251","1.1287","1.1245","0.03%"
"Jul 10, 2019","1.1251","1.1208","1.1265","1.1202","0.38%"
"Jul 09, 2019","1.1208","1.1215","1.1221","1.1194","-0.06%"
"Jul 08, 2019","1.1215","1.1221","1.1235","1.1205","-0.10%"
"Jul 05, 2019","1.1226","1.1285","1.1289","1.1207","-0.52%"
"Jul 04, 2019","1.1285","1.1277","1.1296","1.1272","0.06%"
"Jul 03, 2019","1.1278","1.1284","1.1311","1.1268","-0.06%"
"Jul 02, 2019","1.1285","1.1286","1.1321","1.1275","0.00%"
"Jul 01, 2019","1.1285","1.1375","1.1375","1.1280","-0.75%"
"Jun 28, 2019","1.1370","1.1371","1.1395","1.1351","0.00%"
"Jun 27, 2019","1.1370","1.1369","1.1383","1.1348","0.01%"
"Jun 26, 2019","1.1369","1.1365","1.1392","1.1347","0.02%"
